일자,언론사,제목,통합 분류1,키워드,특성추출
1997-03-13,한국일보,봄철 건강관리 요령,사회-의료_건강,"요령,봄철,건강관리,재채기,콧물,주증상,알레르기,비염,집먼지진드기,꽃가루,원인,외출때,마스크,착용,도움,분무제,완화도코,머리,재채기,동반,콧물,알레르기,비염,의심,알레르기,비염,공기중,가축,미세,먼지,집먼,지진드기,자극,발생,식품,비듬,곰팡이,의류,먼지,담배,먼지,주위,물질,발병,꽃가루,유발,비염,계절,알레르기,화분증,봄철,콧물,재채기,특징,우리나라,알레르기,비염,계절,발생,유형,진단,재채기,콧물,환자,독특,가지,증상,스스로,가족중,증상,가능성,알레르기,비염,가능,알레르기,비염,코주변,부분적,불편,증상,콧속,점막,숨길,분비물,숨길,만성적,호흡,얼굴,골격,알레르기,비염,기관지,숨길,천식,발병,전문의,진료,검사,특정,원인,물질,검사,피부반응검사,혈액검사,특정,원인,물질,과민체질,개선,이론적,완치,가능,일반인들,건조,바람,비염,계절,알레르기,발생,가능성,외출,마스크,착용,예방,증상완화,도움,예방목적,코안,분무제,방법,증상,급성기,증상완화,목적,약제,사용,대개,증상,호전,항히스타민제,개인,졸음,부작용,유발,요즘,부작용,장기,복용,안전,약제,사용,코안,항히스타민제,치료성공률,알레르기,비염,종기,치료,수술,사람,달리기,속도,일종,개인적,한계,규칙적,외래진찰,경과,투약,조절,정하원,서울대,의대,교수,보라매병원,이비인후과,과장,홍역,환절기,소아감염병,수두,조기,예방,접종을,경제성장,과학,발전,인간,생활수준,환경개선,변화,의학분야,질병,치료,예방,변화,생활환경,개선,소아감염병,원인,세균성,바이러스,감염,근본적,예방대책,감염원,세균,바이러스,살균,소독,전염병,원인균,사람,감염경로,차단,방법,감염성,대상아동,면역체,투여,세계,아동,백일,결핵,소아마비,디프테리아,홍역,파상,질환,예방,접종,확대,계획,온대지역,우리나라,환절기,소아감염병들,유행,과거,인플루엔자,감기,홍역,풍진,볼거리,수두,늦겨울,유행,감염병,예방백신,예방접종,4주,면역효과,환절기,유행,질병,2개월,예방접종,계획표,국가,예방,접종,출생후,계획,기본접종,독고영창,고려대,의대,교수,고대안암병원,소아과,계절,결막염,눈병,얼음,효과,입춘,우수,개나리꽃,마음,계절,결막염,봄철,각결막염,알레르기,증상,눈병환자들,알레르기,인체내부,항원,항체,과민,반응,면역질환,일종,부위,일반적,흰자위,결막,혈관,외부,노출,봄철,꽃가루,분진,항원,알레르기반응,계절,결막염,항원,노출,반응,즉각적,과민반응,일종,눈물,가려움증,충혈,증상,알레르기반응,촉진,증상,악화,흰자위,돌출,눈꺼풀,흰색,점성분비물,눈꼽,이물감,호소,증상,국한,가려움증,재채기,콧물,동반,결막염,잡초,나무,꽃가루,초여름,중요,치료원칙,알레르기,원인물질,노출,불가능,증상,경중,치료법,눈주위,얼음수건,찜질,가려움증,완화,도움,점안,항히스타민제,부신,피질,호르몬제,투여,효과적,부신피질호르몬제제,사용,안압,증가,전문의,지시,꽃가루,추출물,원인,항원,주사,치료,결과,계절,결막염,발생빈도,자각,증상,봄철,각결막염,아토피,각결막염,주의,각막병변,수정체,망막이상,동반,실명,초래,위험,질환,요즘,건조,날씨,안구건조증,안약,남용,접촉,알레르기,가려움증,충혈,자가진단,처방,안과전문의,상의,정확,치료,고명규,한양대,의대,교수,한양대병원,안과,질병,전염병,정신질환,알레르기,발생,조미료,글루타민산,식곤증,유발,계절,의학적,관점,그동안,각종,질병,기지개,계절,생각,계절,정신적,스트레스,각종,전염병,발생,자연,변화,각종,질병,인체,신진대사,생리,적응,질병,봄철,오락,레저,질병,계절,변화,스트레스,작용,우울증,가슴,불면증,두통,식욕,부진,성욕,감퇴,초래,정신질환,악화,각종,전염병,병균,인간사이,역학관계,결정,중요,요소,환경,환경,어린이,풍진,홍역,볼거리,바이러스질환,감기,천식,호흡기질환,각종,기생충,질환,자연,변화,질환,알레르기,질환,대표적,알레르기,질환,피부병,눈병,비염,포함,인체,신진대사,생리,적응,질병,위염,신경,성위장염,피곤,증상,춘곤증,치부,전염병,간염,결핵,감기,혈액질환,빈혈,신진대사,호르몬질환,당뇨,갑상선질환,신경계통질환,파킨슨병,다발성경화증,유무,진단,질병,예방,조기치료,사람들,식곤증,식곤증,조미료,글루타민산,식후,피곤,얼굴,증상,의학용어,중국집병,Chinese,Restaurant,Syndrome,오락,레저,질병,각종,사고,곤충교상,유행성출혈열,렙토스피라증,계절,질병,휴식,영양섭취,예방노력,리듬,정신,신체,유지,중요,윤방부,연세대,의대,교수,세브란스병원,가정의학과장","봄철,꽃가루,전염병,가려움증,항히스타민제,결막염,환절기,예방접종,눈병,소아감염병,전문의,각결막염,식곤증,콧물,가능성,흰자위,신진대사,부작용,집먼지진드기,코안,글루타민산"
1997-03-14,서울신문,파리의 (차량2부제) 결단(사설),사회-환경,"파리,차량2부,결단,사설,프랑스,파리시,도시대기,오염,대응,강경책,선택,11일,파리,대기오염정도,운행제,차량,운행,시작,그리스,아테네시,도심,차량전면통행금지,유럽,도시,번째,결정,프랑스,기준,이산화황,마이크로,경보수준,당국,윤번운행,선포,위반자,벌금,부과,결정,대기오염물질,직접적,인체,유해,아황산가스,미세먼지,파리,도로,청소,미세먼지,도시,차량,운행,중지,결심,대기오염,위험,인식,자동차,주범,도시대기오염,인간건강,구체적,영향,의학적,확인,세계보건기구,전문가회의,50마이크로,미세먼지,3일,명당,사망,6명,호흡기질환입원,1천,천식,공식,견해,미국,1991년,사이,국민,천식발병사례,36%,증가,18세,연령층,56%,증가,역학,환경부,집계,대기,오염,자료,전국,도시,미세,먼지,연평균,농도,83.81마이크로,서울,쌍문동,지점,하루,평균,마이크로,기준,연간,초과일,3일,쌍문동,반포동,28일,광화문,24일,광화문,조사,오염도,덕수궁안,대기오염,피부,확인,걱정,실질,조치,강구,서울,세계,도시,환경문제,대처,태도","미세먼지,쌍문동,대기오염,도시대기오염,프랑스,서울,유럽,광화문,아테네시,이산화황,운행제,도시대기,1천,질환입원,호흡기,미국,천식발병,천식발병사례,호흡기질환입원,전문가,전문가회의,연령층,윤번운행,자동차,위반자,6명,덕수궁안,환경부,세계보건기구,18세"
1997-03-15,중앙일보,부산 지하철 1호선 역사등 지하공간의 공기오염도 심각한 수준,사회-사회일반,"1호,부산,지하철,역사,지하,공간,공기오염,수준,1호,부산,지하철,역사,지하,공간,공기오염도,수준,부산시,지난달,4일,1호,부산,지하철,역사,지하상가,대상,미세먼지,부유분진,공기,오염도,조사,1호,결과,지하철,남포동,중앙동,서면,연산동역등,4개,부유분진농도,환경부,기준,3백,초과,3백,최고,14일,호흡기,질환,유발,미세,먼지,농도,남포동,중앙동,서면,부전동,연산동,교대앞역등,6개,1백,환경부,기준,1백,2백,기록,지하상가,부유분진,공기,오염,물질,기준치,측정,상대습도,환경부,기준,40~70%,미달,22~29%,건조,부산","환경부,부산,지하상가,부유분진,미세먼지,6개,공기오염도,1백,기준치,서면,3백,오염도,남포동,1호,호흡기,교대앞역등,연산동,연산동역,부전동,4개,연산동역등,상대습도,앞역,중앙동,부산시,부유분진농도,2백,공기오염,지하철,기준,농도,역사,공기,수준,공간"
1997-03-22,한겨레,"자동차 오염물질 총배출량,생산회사에 ‘상한제’ 적용",경제-자동차,"배출량,자동차,오염,물질,생산회사,상한제,적용,서울시,정부,추진건의앞,자동차회사,오염,물질,배출량,상한,적용,한도,초과,제도,추진,조순,서울,시장,최악,세계,수준,서울,대기오염,획기적,뼈대,자동차,오염,개선,대책,대책,대기오염,주범,자동차,배출,오염물질,자동차회사,상한제,오염,물질,배출량,상한,적용,한도,초과,판매,저공해,무공해자동차,생산량,의무화,정부,건의,서울시,환경부,대기환경기준,강화,기준,적용,광역,단체,대기환경기준,마련,개정,대기환경기준법,아황산가스,배출,기준,0.03,ppm,0.015,ppm,미세먼지,독자,기준,마련,시행,자동차,배출,오염원,절반,배출,경유,운행,억제,경유값,381원,538원,인상,경유차,신규등록,제한,방안,정부,건의,적극,추진,배출,가스,단속,50명,산하,보건,환경,연구원,자동차,공해,부서,신설,조연현","자동차,오염물질,상한제,배출량,서울,경유차,서울시,ppm,조순,아황산가스,대기환경기준,대기오염,자동차회사,조연현,미세먼지,뼈대,저공해,538원,무공해자동차,의무화,신규등록,381원,경유값,연구원,대기환경기준법,기준법,생산회사,환경부,생산량,추진건의앞,오염원,배출"
1997-03-24,경인일보,지하상가 공기 갈수록 악화,사회-환경,"지하상가,공기,악화,지하상가,공기,악화,먼지,이산화탄소등,보건,환경,연구원,측정,인천지역,지하상가,인천,지역,공기,악화,인천시,보건,환경,연구원,인현지하상가,지하상가,인천,시내,공기질,측정,결과,지하상가,조사,부평로,지하상가,측정,지점,총부유먼지,TSP,3백,환경기준치,3백,PM-,미세먼지량,지점,환경,기준,부유먼지,지하상가,부유,먼지,석바위지하상가,PM-,1백,기록,기준치,조사,지하상가,환경기준치,부유분진,CO2,이산화탄소,NO2,이산화질소,공기질,악화,인현지하상가,부유분진,TSP,94.5,2백,조사,2백,2~2,62.2,기록,PM-,57.4,1백,1백,1백,CO2,농도,기간,배이상,주안로지하상가,부유분진,N02,유사,발암,물질,HCHO,동인천지하상가,부유분진,CO2,검출,부유분진,검출,부평로터리,지하상가,개선,조사","지하상가,부유분진,1백,환경기준치,이산화탄소,3백,공기질,2백,인천시,인천,인현지하상가,하상가,연구원,부유먼지,인천지역,동인천지하상가,이산화질소,먼지량,배이상,미세먼지량,n02,석바위지하상가,주안로지하상가,이산화탄소등,동인천,인현지,총부유먼지,tsp,석바위,기준치,부평로터리,co2,부평로,hcho,no2"
1997-03-24,매일경제,"서울·수도권,대기오염물질 배출 규제,하반기 시범실시",사회-환경,"서울,수도권,대기오염물질,배출,규제,시범실시,차량10부,운행,시행,가능,서울,포함,성남,인천,안양,부천,안산,수도권,도시,지역,대기,환경,규제,시범,지정,환경부,23일,악화,수도,대기,오염,개선,지역,대기환경규제지역,지정,대기,오염,물질,배출,총량,규제,조치,서울,포함,수도,지역,대기,오염,개선,설정,달성,지역실정,각종,규제,환경부,한국환경기술개발원,작성,지역,대기질,보전,대책,수립,시행,결과,토대,방안,마련,환경부,마련,방안,서울,인천,오존,오염,미세,먼지,대기오염,자동차,증가,자동차,운행,제한,규제책,마련,성남,안산,부천,수도,위성,도시,산업체,가동,오염,배출총량,업종,대기,오염,물질,배출,총량,방안,추진,대기,환경,규제,시범,서울,인천,차량,부제,운행,차량,배기,가스,배출,농도,단속,지역,시행,환경부,규제,지역,지정,대책,오염,물질,저감,수립,환경부,승인,시행,방침,대기환경오염,특별관리,지역,여천,울산,온산,공단지역,광범위,지방자치단체,규제지역,지정","환경부,수도권,서울,인천,대기오염물질,대기오염,시범실시,자동차,부천,안산,규제지역,온산,울산,대기질,배출총량,성남,지방자치단체,지역실정,특별관리,공단지역,여천"
1997-03-24,경향신문,"차량 10부제 추진,수도권 대기오염 규제지역 선정",사회-환경,"차량,추진,수도권,선정,대기,오염,규제,지역,시범실시서울,포함,성남,인천,안양,부천,안산,수도권,도시,대기,환경,규제,시범,지역,지정,환경부,23일,악화,수도,대기,오염,개선,지역,대기환경규제지역,지정,대기,오염,물질,배출,총량,규제,조치,지역,대기,오염,개선,설정,달성,지역실정,각종,규제,서울,인천,증가,자동차,오존,미세먼지,대기오염,감안,자동차,운행,제한,규제책,마련,지역,지역,차량,운행,차량,배기,가스,배출,농도,단속,기준","대기오염,자동차,인천,수도권,서울,안산,미세먼지,지역실정,규제책,환경부,부천,안양,성남,시범실시서울,대기환경규제지역,지역,대기,규제,차량,오염,배출,수도,시범,지정,운행,개선,선정,단속,달성,농도,미세,제한,오존,설정,가스"
1997-03-24,국민일보,"서울·수도권 주요도시 대기 규제지역 지정,하반기부터",사회-환경,"서울,수도권,도시,대기,규제,지역,지정,운행,오염,총량,규제,환경부,23일,악화,수도,대기,오염,서울,포함,성남,인천,안양,부천,안산,수도,도시,대기,환경,규제,지역,지정,대기오염물질,배출,총량,규제,조치,서울,포함,수도,지역,대기,오염,개선,설정,달성,지역실정,각종,규제,제도,전망,환경부,마련,방안,서울,인천,오존,미세먼지,대기오염,자동차,증가,별도,자동차,운행,제한,배출기준,차량,배기,가스,배출,기준,규제책,마련,권고,성남,안산,부천,수도,위성,도시,산업체,가동,오염,업종,대기,오염,물질,배출,총량,방안,추진,환경부,규제지역,지정,지방자치체,오염,물질,저감,대책,수립,환경부,승인,시행,방침,대기,환경,오염,특별관리,지역,여천,울산,온산,공단지역","수도권,환경부,서울,대기오염,자동차,인천,규제지역,안산,부천,대기오염물질,온산,배출기준,울산,성남,자치체,지역실정,공단지역,여천,규제책,지방자치체,미세먼지,특별관리,산업체,안양"
1997-03-24,한국경제,"서울·수도권 대기환경 규제지역 지정을,환경기개원 89곳 조사",사회-환경,"서울,수도권,지정,대기,환경,규제,지역,환경기개원,조사,오존,미세먼지,오염,도지사,대기오염,관리,오존,이산화질소,미세,먼지,대기,오염,서울,수도권,지역,대기환경규제지역,시범지정,지적,한국환경기술개발원,한화진,박사,지역대기질,보전대책수립시행연구,서울,수도권,성남,수원,수도,지역,PM,오존,이산화질소,미세먼지,광범위,오염,지역,대기,환경,규제,지역,선정,지적,박사,95년,대기오염,전국,대기,오염,상시,측정,자료,결과,오존,오염도,서울,전국,부천순,대전,수원,이산화질소,수도권,성남,서울,수원,안산,수도,지역,1위,4위,차지,미세먼지,안양,인천순,대구,서울,일산화탄소,서산,광명,안산,대전,오염도,아황산가스,대구,안양,수원,울산순,오염도,박사,공단지역,오염특성,특별대책지역,지정,관리,대기환경규제지역,서울,인천시,경기도,수도,지역,중심,선정,도지사,관리","서울,수원,이산화질소,수도권,오염도,대구,성남,대기오염,미세먼지,안산,한국환경기술개발원,경기도,도지사,안양,울산순,대기환경규제지역,보전대책수립시행연구,지역대기,특별대책지역,4위,서산,기개원,지역대기질"
1997-03-24,동아일보,서울등 수도권 주요도시(대기환경규제)지역 지정 환경부,사회-환경,"주요도시,서울,수도,도시,대기환경규제,지역,지정,환경부,주요도시,서울,수도,도시,대기환경규제,지역,지정,환경부,오염,시설,제한,서울,포함,성남,인천,안양,부천,안산,수도,도시,대기,환경,규제,시범,지역,지정,환경부,23일,심화,수도,대기,오염,개선,지역,대기환경규제지역,지정,대기오염물질배출총량규제,조치,대기환경규제지역,연평균,대기,오염도,기준치,80%,지역,환경부장관,지정,지방,대기오염,대책,추진,규제지역,지정,지자체,자동차운행제한,대기오염,유발시설,신규입지제한,배출농도,기준강화,지역실정,규제,서울시,대기오염,이용제한,서울,도심,경유차,이용,제한,추진중,대기,환경,규제,지역,지정,대비,한국환경기술개발원,원장,金鍾基,김종기,환경부,의뢰,작성,지역,수립,대기질,보전,대책,시행,수도,도시,대기오염도가기준치,80%,보고서,서울,인천,배기가스,자동차,배기,가스,오존오염도,미세먼지오염,10부,운행,자동차운행제한,수준,지적,산업체,오염물질,오염,업종별,대기,오염,물질,배출,총량,제한,지적,具滋龍","환경부,서울,대기오염,자동차,인천,대기환경규제지역,오염도,대기질,경유차,주요도시,안산,자동차운행제한,연평균,이용제한,대기환경규제,오존오염도,金鍾基,한국환경기술개발원,미세먼지오염,부천,기준강화,배기가스,안양,산업체,김종기,신규입지제한,업종별,성남,단체장,기준치,오염물질,유발시설,지역실정"
1997-03-26,문화일보,"부천 대기오염 위험수위,이산화질소 환경기준 2월중 38회 초과",사회-환경,"위험수위,부천,대기,오염,위험,수위,이산화질소,환경,기준,초과,부천시,대기,오염,상태,위험수위,환경부,25일,2월,대기오염,현황,부천시,심곡동,이산화질소,오염도,최고,0.268,PPM,시간,단기,환경,기준,0.15,PPM,달동안,38회,초과,부천시,내동,이산화질소,미세,먼지,오염,시간,단기,환경,기준,26회,3회,초과,부천시,전역,대기오염,몸살,서울지역,이산화질소,오염도,송파구,방이동,0.16,PPM,시간,환경,기준,초과,도봉구,쌍문동,1백,미세,먼지,환경,기준,초과횟수,5회,집계,전국적,일반,먼지,오염도,1월,부산,98PPM,1백,PPM,대구,57PPM,69PPM,,80PPM,84PPM,,80PPM,90PPM,증가","오염도,이산화질소,대기오염,부천시,1백,ppm,위험수위,38회,부천,광주,울산,80ppm,부산,대구,5회,서울,방이동,서울지역,환경부,송파구,26회,3회,쌍문동,도봉구,심곡동,내동,90ppm,98ppm,57ppm,오염"
1997-03-26,중앙일보,대도시지역 대기오염 악화 - 환경부 조사,사회-환경,"악화,도시,지역,대기,오염,환경부,조사,환경부,기온,건축공사,울산,대구등,지역,대기오염,악화,경남,울산,지역,0.016,아황산가스,농도,0.019,증가,먼지,미세먼지,오존,이산화질소등,항목,오염도,상승,대구지역,이산화질소,농도,1월,0.027,0.032,총먼지,미세먼지,오존등,오염도,악화","울산,대구,오염도,이산화질소,대기오염,환경부,미세먼지,경남,건축공사,총먼지,대구지역,아황산가스,오존등,대구등,이산화질소등,지역,악화,먼지,농도,오존,항목,오염,대기,기온,건축,공사,증가,상승,미세,도시,조사"
1997-03-27,중앙일보,인천 지하상가 공기 작년보다 악화- 인현등 6곳,사회-환경,"공기,인천,지하상가,악화,인현,이산화질소,인천,지역,지하상가,공기,인천시,보건,환경,연구원,인현,부평,석바위등,지하상가,대상,공기오염도,조사,결과,지하상가,총부유먼지,이산화탄소,이산화질소등,악화,부평로,지하상가,측정,지점,지점,총부유먼지,3백,환경기준치,3백,미세먼지량,지점,환경기준치,1백,초과,인현지하상가,부유먼지,94.5,2백,조사,2백,2~2,62.2,기록,미세먼지량,57.4,1백,1백,8~1,46.8,이산화탄소,이산화질소,농도,보건환경연구원,지하상가,이용,시민,지하상가,공기,정화,시설,확충","지하상가,이산화질소,1백,이산화탄소,인현,3백,총부유먼지,2백,먼지량,미세먼지량,보건환경연구원,인천시,환경기준치,인천,연구원,부유먼지,하상가,인현지,인현지하상가,석바위등,부평,공기오염도,석바위,오염도,이산화질소등,부평로,공기,지점,환경,악화,조사,보건,기준,결과,시설"
1997-03-29,강원도민일보,헌책방 궁즉통,사회-환경,"헌책방,궁즉통,헌책방,궁즉통,최성각,길종만,핵폐기물,한전,이야기,자료,석우,이야기,자료,석우,골방,자료,가을,환경잡지,잡지,그린스카우트,환경,한전,기사,한전,얘기,한전,배출,아황산가스,줄질,먼지,따위,우리나라,우리나라,오염,물질,배출량,차지,연합통신,기고,정리,잡지,대기오염,비상,총량규제,특집기사,오존주의보,10번,미세먼지,환경기준치,초과,환경부,허용기준,자동차,배출,가스,허용,기준,선진국,수준,오염,물질,발생,43.7%,차지,산업,발전,대기,오염,개선,대기,오염,총량,규제,통상,한국전력,반발,총량규제,기사,한전,배출,오염량,배기가스,자동차,배기,가스,총량,아황산가스,연간,배출량,한전,32만,20.6%,먼지,먼지,발생,총량,38.5%,16만,환경부,총량규제,한전,반발,얼마,원주한전,전신주,까치집,친환경적,인상적,준식,대기오염,사회,비용,인용,대기오염,사회,비용,기준,2조,15억,산출,국민,4만,가량,국민,생산,0.8%,추정치,표준의료수,시장가격,반영,2차,파급효과,대기오염,수명단축,정서,피해,반영,비용,실제,사회,최소치,정도,액수,국민들,기억력,과소평가,놈들,심판,영흥화력발전소,사람들,반대,대책위,사람,화력발전소,대기,오염,물질,풍선,실험,기사,풍선,인천,울진,강원도,정선,충북,단양,풍선,회신,서울,물론","한전,대기오염,자동차,배출량,총량규제,우리나라,환경부,아황산가스,대책위,연합통신,석우,헌책방,서울,궁즉통,표준의료수,시장가격,추정치,최성각,놈들,강원도,정선,주의보,10번,전신주,과소평가"
1997-03-29,경인일보,中 배출물질 하루면 수도권 영향,사회-환경,"하루,배출,물질,수도,영향,배출,물질,하루,수도,영향,2004년,대기오염,악화,개발연,서울시립대,수도,개발연,중국,배출,대기오염물질,24시간,서울,인천,수원,수도,대기,영향,7년,2004년,지역,대기오염도,1.5배,가량,전망,수도권,서울시립대,수도,개발연구소,서울시,인근지역,예측,대기,오염,물질,배출량,관리방안,보고서,중국,배출,대기오염물질,24시간,일대,서울,수도,대기,영향,황산염,형태,영향,수도,인접,지역,영향,아황산가스,먼지,23%,,정도,서울,대기,영향,대기,오염,모델링,장애,서울,대기오염,예측치,0.032,ppm,이산화질소,98년,0.0341,ppm,2001년,0.0363,ppm,2004년,0.0468,ppm,악화,95년,미세먼지,80.9,2001년,85.6,2004년,1백,증가세,전망,보고서,WTO,세계보건기구,권고기준,환경,강화,서울,인근,지역,대기,환경,기준,마련,제안","서울,수도권,ppm,서울시립대,개발연,대기오염물질,대기오염,보고서,인근지역,배출량,서울시,인천,중국,세계보건기구,권고기준,미세먼지,연구소,관리방안,증가세,개발연구소,1백,아황산가스,이산화질소,황산염,수원,예측치"
1997-03-29,한겨레,서울 대기 갈수록 나빠진다,사회-환경,"서울,대기,7년,오염,증가,중국,오염,물질,24시간,도착앞,7년,2004년,서울,대기오염도,1.5배,중국,대기오염물질,24시간,서울,영향,서울시,서울시립대,수도,개발연구소,의뢰,28일,서울시,대기,오염,물질,배출량,예측,관리방안,결과,0.032,ppm,대기오염도,서울,이산화질소,대기,오염도,0.0341,ppm,0.0363,ppm,0.0468,ppm,악화,미세먼지,95년,78ug,,80.9,ug,85.6,ug,107.4,ug,증가,전망,중국,오염물질,초속,편서풍,일주일,늦가을,날씨,24시간,서울,대기,영향,예측,중국,오염,물질,아황산가스,황산염,형태,서울,대기,영향,중국,아황산가스,23%,,18%,서울","중국,서울,ppm,ug,서울시,아황산가스,오염물질,일주일,서울시립대,오염도,배출량,이산화질소,대기오염도,연구소,개발연구소,늦가을,미세먼지,편서풍,도착앞,관리방안,황산염,대기오염물질,대기,오염,물질,예측,영향,먼지,증가"
1997-03-29,한국일보,서울 환경기준 최고 3배 강화,사회-환경,"강화,서울,환경,기준,최고,아황산가스,대기,오염물,규제,서울시,서울,대기오염도,획기적,환경부,전국,환경,기준,최고,강화,서울환경기준,마련,올해안,시행,시립대,수도,개발연구소,용역,의뢰,기준,마련,아황산가스,허용,기준,환경부,기준,강화,연평균농,0.012,0.015,PPM,아황산가스,허용,기준,농도,환경부,기준,0.03,PPM,세계보건기구,권고기준,0.015,0.023,PPM,미세먼지량,환경부기준,연평균,환경부,기준,하루,강화,이산화질소,연평균농도,환경부기준,0.05,PPM,0.03,0.04,PPM,오존농도,환경부,기준,평균,0.06,PPM이하,강화,0.03,0.06,PPM,대기오염,주범,자동차배기가스,자동차제조업체별,생산차량,오염물질배출총량,제작사,배출량,상한,자동차,일정,비율,생산,무공해,자동차,제작,의무,비율,시행,적극,추진","자동차,환경부,아황산가스,ppm,연평균,서울,환경부기준,시립대,무공해,제작사,개발연구소,연구소,배출량,서울시,생산차량,이산화질소,권고기준,오염물질배출총량,오염물,오염도,자동차제조업체별,자동차배기가스,미세먼지량,세계보건기구,먼지량,연평균농도,올해안,오존농도,대기오염,대기오염도,서울환경기준,연평균농,ppm이하"
1997-03-29,헤럴드경제,中공해 하루면 서울 상공,사회-환경,"공해,하루,서울,상공,7년,대기,1.5,악화,시립,보고서,중국,배출,대기오염물질,24시간,서울,대기,영향,7년,2004년,서울,대기오염도,가량,전망,서울시,서울시립대,수도,개발연구소,용역,의뢰,28일,서울시,대기,오염,물질,배출량,예측,관리,방안,보고서,중국,배출,대기오염물질,24시간,서울,대기,영향,황산염,형태,영향,수도,인접,지역,영향,아황산가스,먼지,23%,,서울,18%,정도,대기,영향,대기,오염,모델링,장래,서울,대기오염,예측치,0.032,PPM,이산화질소,98년,0.0341,PPM,2001년,0.0363,PPM,2004년,0.0468,PPM,악화,95년,미세먼지,80.9,85.6,7.4,7.4,증가세,전망,용역결과,토대,서울,대기,오염,절감,대책,마련,계획","서울,대기오염,서울시,ppm,보고서,서울시립대,미세먼지,중국,연구소,개발연구소,용역결과,아황산가스,대기오염물질,이산화질소,증가세,황산염,오염도,배출량,예측치,대기오염도,대기,영향,예측,오염,용역,수도,먼지,전망"
1997-03-29,동아일보,서울 대기오염 배출량 심각,사회-환경,"서울,대기,오염,배출량,심각,서울,대기,오염,배출량,심각,2004년,10%증가,건강위협,이동,오염원,급증,건강,위협,河泰元,연간,정도,서울,시대기,오염,물질,배출량,2001년,52만,2004년,79만,시민건강,위협,전망,오염,물질,배출원,자동차,기차,항공기,이동오염원,오염,급증,83%,2001년,88%,2004년,92.3%,차지,예측,예측,서울시,서울시립대,용역,의뢰,서울시,대기,오염,물질,배출량,예측,보고서,연구보고서,예상,오염물질배출랑,2004년,79만,증가,연평균,이동오염원,배출량,비율,산업,시설,발전소,난방,시설,오염,예측,보고서,2004년,중국,배출,아황산가스,미세먼지,24시간,서울대기,영향,특별,대책,요망,강조","배출량,이동오염원,서울,서울시,보고서,배출원,연평균,서울시립대,79만,건강위협,미세먼지,아황산가스,河泰元,시민건강,발전소,자동차,중국,서울대기,오염원,항공기,오염물질배출랑,52만,출랑,시대기,연구보고서,오염,급증,예측,시설,대기,증가,물질,연간"
1997-03-31,매일신문,황사현상이란,사회-환경,"황사현상,황사현상,보통,중순,황사,예년,열흘정도,우리나라,사막지방,중국,내륙,사막,지방,건조,날씨,중국,고비,사막,타클라마사막,등지,황하강,상류,황토지대,가을,흙먼지덩어리,상승기류,3천,5천,먼지,온대지방,편서풍,우리나라,차례,대기,오염,미세먼지,석영,알루미늄,구리,카드뮴,중금속과유해물질,포함,질환,가지,바이러스,30일,황사현상,전국,상공,대구,지역,모래바람,대기","중국,우리나라,황하강,황사현상,흙먼지,흙먼지덩어리,상승기류,중금속과유해물질,중금속,구리,과유해,모래바람,3천,미세먼지,열흘정도,대구,황토지대,5천,석영,온대지방,타클라마사막,편서풍,사막지방,먼지,가지,지방,현상,황사,사막,대기,상공,상류,중순,내륙,덩어리,가을,상승,카드뮴,지대,기류"
1997-03-31,서울신문,정책답보로 대기오염 심해져(사설),사회-환경,"정책답보,대기,오염,사설,서울대기오염,시민,피부,상황,보고,추가,서울시,용역,서울시립대,수도,개발연구소,마련,예측,서울시,대기,오염,물질,배출량,결과,두려움,오염,물질,배출량,10%이상,증가,2004년,1.5배,중국,오염물질량,아황산가스,23%,미세,먼지,18%,중국,영향,오염물질,감당,감수,고통,당면,서울시,대로,대기,오염도,대책,마련,환경부,전국,환경,기준,최고,강화,서울,환경,기준,마련,올해안,시행,아황산가스,허용,기준,환경부,연평균,기준,0.03,ppm,0.015,ppm,미세먼지량,연평균,80마이크로,60마이크로,환경부,서울,환경규제지역,지정,계획,규제지역,지자체,각종,규제,조치,해당지역,오염,물질,삭감,방안,마련,추진,의무,어려움,사태,악화,이견,상황,개선,전국,실질적,산업체,경비부담,지자체,제한,시민,개개인,형태,불편,사실때문,행동,참여,경기침체,계기,반대,표면화,의무화,오염,연료,사용,의무,각종,오염,물질,배출,농도,기준,강화,대표적,반발,진전,항목,환경개선법안들,국회,상정,원칙,사항,시행일,답보,오염상황,점검,위험,실물경제,인체건강,부담,설명,인식,환경오염,국가적,건강유지비용,증대,노동생산력,감소,나라들,동의,산업체,행정부처,의회,시민,사태,위험,이해,개선,실질,경제,의견일치,논의,토론,계몽","서울시,오염물질,배출량,서울,환경부,아황산가스,산업체,중국,연평균,지자체,서울시립대,ppm,생산력,노동생산력,나라들,환경오염,경기침체,개발연구소,표면화,시행일,건강유지비용,의견일치,행정부처,인체건강,경비부담,실물경제,미세먼지량,규제지역,연구소,80마이크로,환경개선법안들,해당지역,오염도"
